Used,Type,Name,PV,Tag,Desc
X,Bool,SAS_Fail_to_Close,BL:$(xx)$(yy):SAS_FAIL_TO_CLOSE,SAS.Fail_to_Close,106 SAS Fail to Close
,Bool,GV1_Faulted,BL:$(xx)$(yy):GV1_FAULTED,GV1.Faulted,GV1_Faulted
,Bool,GV1_Both_Switch,BL:$(xx)$(yy):GV1_BOTH_SWITCH,GV1.Fault.Both_Switch,1011 GV1 Both Switch
,Bool,GV1_Opened_Switch,BL:$(xx)$(yy):GV1_OPENED_SWITCH,GV1.Fault.Opened_Switch,1012 GV1 Opened Switch
,Bool,GV1_Fail_to_Open,BL:$(xx)$(yy):GV1_FAIL_TO_OPEN,GV1.Fault.Fail_to_Open,1013 GV1 Fail to Open
,Bool,GV1_Fully_Open,BL:$(xx)$(yy):GV1_FULLY_OPEN,GV1.Fault.Fully_Open,1014 GV1 Fail To Fully Open
,Bool,GV1_Closed_Switch,BL:$(xx)$(yy):GV1_CLOSED_SWITCH,GV1.Fault.Closed_Switch,1015 GV1 Closed Switch
,Bool,GV1_Fail_to_Close,BL:$(xx)$(yy):GV1_FAIL_TO_CLOSE,GV1.Fault.Fail_to_Close,1016 GV1 Fail to Close
,Bool,GV1_Fully_Close,BL:$(xx)$(yy):GV1_FULLY_CLOSE,GV1.Fault.Fully_Close,1017 GV1 Fail To Fully Close
,Bool,GV1_Beam_Exposure,BL:$(xx)$(yy):GV1_BEAM_EXPOSURE,GV1.Fault.Beam_Exposure,1018 GV1 Beam Exposure
,Bool,GV1_No_Switch,BL:$(xx)$(yy):GV1_NO_SWITCH,GV1.Fault.No_Switch,1019 GV1 No Switch
X,Bool,GV2_Faulted,BL:$(xx)$(yy):GV2_FAULTED,GV2.Faulted,GV2_Faulted
X,Bool,GV2_Both_Switch,BL:$(xx)$(yy):GV2_BOTH_SWITCH,GV2.Fault.Both_Switch,1021 GV2 Both Switch
X,Bool,GV2_Opened_Switch,BL:$(xx)$(yy):GV2_OPENED_SWITCH,GV2.Fault.Opened_Switch,1022 GV2 Opened Switch
X,Bool,GV2_Fail_to_Open,BL:$(xx)$(yy):GV2_FAIL_TO_OPEN,GV2.Fault.Fail_to_Open,1023 GV2 Fail to Open
X,Bool,GV2_Fully_Open,BL:$(xx)$(yy):GV2_FULLY_OPEN,GV2.Fault.Fully_Open,1024 GV2 Fail To Fully Open
X,Bool,GV2_Closed_Switch,BL:$(xx)$(yy):GV2_CLOSED_SWITCH,GV2.Fault.Closed_Switch,1025 GV2 Closed Switch
X,Bool,GV2_Fail_to_Close,BL:$(xx)$(yy):GV2_FAIL_TO_CLOSE,GV2.Fault.Fail_to_Close,1026 GV2 Fail to Close
X,Bool,GV2_Fully_Close,BL:$(xx)$(yy):GV2_FULLY_CLOSE,GV2.Fault.Fully_Close,1027 GV2 Fail To Fully Close
X,Bool,GV2_Beam_Exposure,BL:$(xx)$(yy):GV2_BEAM_EXPOSURE,GV2.Fault.Beam_Exposure,1028 GV2 Beam Exposure
X,Bool,GV2_No_Switch,BL:$(xx)$(yy):GV2_NO_SWITCH,GV2.Fault.No_Switch,1029 GV2 No Switch
X,Bool,GV3_Faulted,BL:$(xx)$(yy):GV3_FAULTED,GV3.Faulted,GV3_Faulted
X,Bool,GV3_Both_Switch,BL:$(xx)$(yy):GV3_BOTH_SWITCH,GV3.Fault.Both_Switch,1031 GV3 Both Switch
X,Bool,GV3_Opened_Switch,BL:$(xx)$(yy):GV3_OPENED_SWITCH,GV3.Fault.Opened_Switch,1032 GV3 Opened Switch
X,Bool,GV3_Fail_to_Open,BL:$(xx)$(yy):GV3_FAIL_TO_OPEN,GV3.Fault.Fail_to_Open,1033 GV3 Fail to Open
X,Bool,GV3_Fully_Open,BL:$(xx)$(yy):GV3_FULLY_OPEN,GV3.Fault.Fully_Open,1034 GV3 Fail To Fully Open
X,Bool,GV3_Closed_Switch,BL:$(xx)$(yy):GV3_CLOSED_SWITCH,GV3.Fault.Closed_Switch,1035 GV3 Closed Switch
X,Bool,GV3_Fail_to_Close,BL:$(xx)$(yy):GV3_FAIL_TO_CLOSE,GV3.Fault.Fail_to_Close,1036 GV3 Fail to Close
X,Bool,GV3_Fully_Close,BL:$(xx)$(yy):GV3_FULLY_CLOSE,GV3.Fault.Fully_Close,1037 GV3 Fail To Fully Close
X,Bool,GV3_Beam_Exposure,BL:$(xx)$(yy):GV3_BEAM_EXPOSURE,GV3.Fault.Beam_Exposure,1038 GV3 Beam Exposure
X,Bool,GV3_No_Switch,BL:$(xx)$(yy):GV3_NO_SWITCH,GV3.Fault.No_Switch,1039 GV3 No Switch
,Bool,GV4_Faulted,BL:$(xx)$(yy):GV4_FAULTED,GV4.Faulted,GV4_Faulted
,Bool,GV4_Both_Switch,BL:$(xx)$(yy):GV4_BOTH_SWITCH,GV4.Fault.Both_Switch,1041 GV4 Both Switch
,Bool,GV4_Opened_Switch,BL:$(xx)$(yy):GV4_OPENED_SWITCH,GV4.Fault.Opened_Switch,1042 GV4 Opened Switch
,Bool,GV4_Fail_to_Open,BL:$(xx)$(yy):GV4_FAIL_TO_OPEN,GV4.Fault.Fail_to_Open,1043 GV4 Fail to Open
,Bool,GV4_Fully_Open,BL:$(xx)$(yy):GV4_FULLY_OPEN,GV4.Fault.Fully_Open,1044 GV4 Fail To Fully Open
,Bool,GV4_Closed_Switch,BL:$(xx)$(yy):GV4_CLOSED_SWITCH,GV4.Fault.Closed_Switch,1045 GV4 Closed Switch
,Bool,GV4_Fail_to_Close,BL:$(xx)$(yy):GV4_FAIL_TO_CLOSE,GV4.Fault.Fail_to_Close,1046 GV4 Fail to Close
